method,accuracy_train,accuracy_test,runtime
lm,0.1212162231068028,0.20580547860883053,2
glmnet,0.08654011371838856,0.18339302262826915,69
ranger,0.08538168497903678,0.18436973159176737,1898
gbm,0.08406120493878681,0.1864641159640912,505
svmRadial,0.0964527739711327,0.18390124048333292,31
